"","category","name","price","ratings","no_of_reviews"
"80","Luggage","Take2cabin Carry-on Luggage, Standard Size",NA,"4.8 out of 5 stars","88"
"81","Luggage","Spidey Spider-Man Trolley, 38 cm, Children's Backpack, Hand Luggage Suitcase, Navy, Navy, XL, Vacation","$105.02","3.5 out of 5 stars","52"
"82","Luggage","Pack of 4 Luggage Suitcase Replacement, Suitcase Wheel Replacement, Suitcase Replacement Wheels, Tark and Wear-Resistant, Radian 55°, Suitable for Most Plastic Suitcases (No Screws), black, 4 * 3,5 * 1,8 Zoll","$57.71","3.7 out of 5 stars","48"
"83","Luggage","imiono Luggage Sets 3 Piece,Expandable Hardside Suitcase Set with Spinner Wheels,Lightweight Travel Luggage set with TSA Lock, Black, Luggage sets 5 piece, Luggage Sets","$42.83","4.5 out of 5 stars","2,527"
"84","Luggage","Out of Bounds 4-Wheel Spinner 2-pc Nested Set: 20"" Carry-on, 28"" Luggage","$199.54","4.0 out of 5 stars","19"
"85","Luggage","Rhinenet 2 Luggage Replacement Wheels OD 80mm Repair for Luggage Suitcase 80mm x 24mm x 6mm Wheels","$80.30","4.3 out of 5 stars","41"
"86","Luggage","Ben Sherman","$46.34","3.0 out of 5 stars","2"
"87","Luggage","19 Inch Suitcase Hand Luggage with Front Pocket for 15.6"" Laptop, 35 * 23 * 55cm, 43L, 3.1Kg, Ligthweight ABS+PC Hardshell Carry On, TSA Lock & YKK Zippers with HINOMOTO 360° Wheels, Pink","$165.29","4.5 out of 5 stars","2,371"
"88","Luggage","Solyte DLX Expandable Softside Luggage with Spinner Wheels","$39.30","4.6 out of 5 stars","957"
"89","Luggage","Luggage Hard Shell Suitcases with Spinner Wheel & TSA Lock, 16in Underseat Carry On Luggage 20in 24in 26in 28in Large Hardside Luggage Travel PC Luggage Set, Cuba Sand, 3-Piece Set（20/24/28）,","$42.78","4.4 out of 5 stars","117"
"90","Luggage","Convertible Cabin Bag 40 x 20 x 25 for Ryanair Expandable 45 x 36 x 20 for Easyjet Cabin Bag Travel Bag Hand Luggage Airplane Underseat Bag Carry On Bag CABI Bag for Holiday Shopping Hiking","$109.10","4.2 out of 5 stars","92"
"91","Luggage","ORO Suitcase Wheels Replacement Wheels 75 x 24 x 8 Rubber Wheels 1 Pair Mute Luggage Suitcase Replacement Wheels","$98.78","3.5 out of 5 stars","58"
"92","Luggage","4 Pieces Luggage Set(14/20/24/28) PP Lightweight 4 Double Rolling Wheels Suitcase With TSA Lock & YKK Zipper, Rose Pink, Fashion Travel Carry on Luggage Set","$55.00","4.6 out of 5 stars","116"
"93","Luggage","All Aluminum Suitcase Hard Shell Luggage Case Carry On Spinner Matel Suitcase (Silver, 24 Inch)","$98.71","4.4 out of 5 stars","49"
"94","Luggage","Sonora - Travel Duffle S, 55 cm, 59.5 L","$146.42","4.6 out of 5 stars","754"
"95","Luggage","Samsonite","$129.39","4.5 out of 5 stars","652"
"96","Luggage","ORO Suitcase Wheels Replacement Wheels 40/43/45/50/54/60/64/68/70/75/78/80/87/90 mm 8 mm Centre Bearing ID Rubber Wheels Wheels 1 Pair Mute Luggage Suitcase Replacement Wheels, 64 * 24 * 8mm","$115.70","4.2 out of 5 stars","73"
"97","Luggage","New Summer 2022 Easyjet 45x36x20 Maximum Size Carry On Holdall Travel Duffel Bag Cabin Luggage Lightweight Under Seat Flight Bag with 5 Year Warranty, Charcoal, Cabin Luggage Under Seat Flight Bag","$41.34","4.2 out of 5 stars","73"
"98","Luggage","Chatelet Hardside 2.0 Luggage with Spinner Wheels","$110.48","4.4 out of 5 stars","154"
"99","Luggage","Reisenthel Citycruiser Bag, Polyester, 24 x 34 x 60 cm, Multicolour (Dots), 60 Centimeters, Hand Luggage",NA,"4.6 out of 5 stars","143"
